,id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language,corpus_name,Rating.Mean,Conc.M,SUBTLEX
5567,10688554,15482,45,26697,206,eleanor,3,for tea Eleanor,prep n n:prop,FAT,,Father,15480.0,24.066202591429,Eleanor,female,declarative,328.952,326.99,s,13,Eng-UK,3.0,eng,MPI-EVA-Manchester,,,
5568,10688577,15481,46,26697,206,what,3,what Mama drink,pro:int n:prop n,MOT,Mother,Mother,15480.0,24.066202591429,Eleanor,female,question,328.487,327.408,s,13,Eng-UK,4.0,eng,MPI-EVA-Manchester,3.86,2.0,501965.0
5569,10688577,15481,46,26697,206,ll,3,what Mama drink,pro:int n:prop n,MOT,Mother,Mother,15480.0,24.066202591429,Eleanor,female,question,328.487,327.408,s,13,Eng-UK,4.0,eng,MPI-EVA-Manchester,,,
5570,10688577,15481,46,26697,206,mama,3,what Mama drink,pro:int n:prop n,MOT,Mother,Mother,15480.0,24.066202591429,Eleanor,female,question,328.487,327.408,s,13,Eng-UK,4.0,eng,MPI-EVA-Manchester,1.89,4.3,5289.0
5571,10688577,15481,46,26697,206,drink,3,what Mama drink,pro:int n:prop n,MOT,Mother,Mother,15480.0,24.066202591429,Eleanor,female,question,328.487,327.408,s,13,Eng-UK,4.0,eng,MPI-EVA-Manchester,3.47,4.76,12617.0
5572,10689328,15481,88,26697,206,mm,1,mm,co,MOT,Mother,Mother,15480.0,24.066202591429,Eleanor,female,declarative,424.329,423.272,s,13,Eng-UK,1.0,eng,MPI-EVA-Manchester,,,
5573,10689343,15482,89,26697,206,mm,1,mm,co,FAT,,Father,15480.0,24.066202591429,Eleanor,female,declarative,425.559,424.259,s,13,Eng-UK,1.0,eng,MPI-EVA-Manchester,,,
5574,10689457,15481,95,26697,206,did,2,do you,v pro:per,MOT,Mother,Mother,15480.0,24.066202591429,Eleanor,female,question,431.951,430.953,s,13,Eng-UK,3.0,eng,MPI-EVA-Manchester,,2.45,119410.0
5575,10689457,15481,95,26697,206,you,2,do you,v pro:per,MOT,Mother,Mother,15480.0,24.066202591429,Eleanor,female,question,431.951,430.953,s,13,Eng-UK,3.0,eng,MPI-EVA-Manchester,4.35,4.11,2134713.0
5576,10689470,15482,96,26697,206,and,5,and you go on the,coord pro:per v prep det:art,FAT,,Father,15480.0,24.066202591429,Eleanor,female,interruption,434.006,431.87,s,13,Eng-UK,6.0,eng,MPI-EVA-Manchester,4.57,1.52,682780.0
5577,10689470,15482,96,26697,206,you,5,and you go on the,coord pro:per v prep det:art,FAT,,Father,15480.0,24.066202591429,Eleanor,female,interruption,434.006,431.87,s,13,Eng-UK,6.0,eng,MPI-EVA-Manchester,4.35,4.11,2134713.0
5578,10689470,15482,96,26697,206,went,5,and you go on the,coord pro:per v prep det:art,FAT,,Father,15480.0,24.066202591429,Eleanor,female,interruption,434.006,431.87,s,13,Eng-UK,6.0,eng,MPI-EVA-Manchester,,2.25,20987.0
5579,10689470,15482,96,26697,206,on,5,and you go on the,coord pro:per v prep det:art,FAT,,Father,15480.0,24.066202591429,Eleanor,female,interruption,434.006,431.87,s,13,Eng-UK,6.0,eng,MPI-EVA-Manchester,4.01,3.25,354742.0
5580,10689470,15482,96,26697,206,the,5,and you go on the,coord pro:per v prep det:art,FAT,,Father,15480.0,24.066202591429,Eleanor,female,interruption,434.006,431.87,s,13,Eng-UK,6.0,eng,MPI-EVA-Manchester,3.98,1.43,1501908.0
